"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"302","Generation",0.1,1,0.659608698443837
"303","Clock Rate",0.1,0.1,0.289477549872255
"304","Clock Rate",0.1,0.2,0.376409028689524
"305","Clock Rate",0.1,0.5,0.856791761462772
"306","Clock Rate",0.1,1,0.911022060758268
"307","Clock Rate",0.1,2,0.961008909710964
"308","Clock Rate",0.1,0.05,0.298303577103047
"309","Clock Rate",0.1,0.15,0.739566052273665
"310","Clock Rate",0.1,0.25,0.790155485740031
"311","Clock Rate",0.1,0.75,0.699883538186472
"312","Clock Rate",0.1,1.5,0.899500467150291
"313","Clock Rate",0.1,3,0.962077279449452
"314","Generation",0.1,2,0.473879697483691
"315","Clock Rate",0.1,0.1,0.289477549872255
"316","Clock Rate",0.1,0.2,0.376409028689524
"317","Clock Rate",0.1,0.5,0.856791761462772
"318","Clock Rate",0.1,1,0.911022060758268
"319","Clock Rate",0.1,2,0.961008909710964
"320","Clock Rate",0.1,0.05,0.298303577103047
"321","Clock Rate",0.1,0.15,0.739566052273665
"322","Clock Rate",0.1,0.25,0.790155485740031
"323","Clock Rate",0.1,0.75,0.699883538186472
"324","Clock Rate",0.1,1.5,0.899500467150291
"325","Clock Rate",0.1,3,0.962077279449452
"326","Generation",0.1,0.05,0.102622792931727
"327","Clock Rate",0.1,0.1,0.289477549872255
"328","Clock Rate",0.1,0.2,0.376409028689524
"329","Clock Rate",0.1,0.5,0.856791761462772
"330","Clock Rate",0.1,1,0.911022060758268
"331","Clock Rate",0.1,2,0.961008909710964
"332","Clock Rate",0.1,0.05,0.298303577103047
"333","Clock Rate",0.1,0.15,0.739566052273665
"334","Clock Rate",0.1,0.25,0.790155485740031
"335","Clock Rate",0.1,0.75,0.699883538186472
